"apparent_temp_c","humidity","wind_speed_km_h","wind_bearing_degrees","visibility_km","pressure_mb","no_precip","rain","snow","id"
7.38888888888889,0.89,14.1197,251,15.8263,1015.13,0,1,0,1
5.52222222222222,0.95,12.3648,259,9.982,1016.72,0,1,0,2
17.8,0.55,21.9443,281,11.27,1017.59,0,1,0,3
14.2555555555556,0.69,8.5169,163,11.2056,1015.82,0,1,0,4
10.4222222222222,0.62,16.9855,150,15.8263,1014.4,0,1,0,5
5.15555555555556,0.85,11.1734,141,6.1985,1014.52,0,1,0,6
19.0055555555555,0.46,23.8924,169,9.982,1013.04,0,1,0,7
20,0.43,23.4255,160,9.982,1008.76,0,1,0,8
13.7722222222222,0.6,17.0982,160,15.8263,1007.36,0,1,0,9
11.1111111111111,0.93,12.0106,140,5.9731,1006.34,0,1,0,10
17.5166666666667,0.67,0.6762,153,10.8997,1005.64,0,1,0,11
10.9111111111111,0.86,22.3951,311,2.6565,1004.61,0,1,0,12
5.07222222222222,0.96,20.447,341,3.1073,1004.8,0,1,0,13
1.65,0.93,28.0945,349,7.9695,1003.57,0,1,0,14
5.16111111111111,0.77,29.8333,348,11.27,1004.47,0,1,0,15
10.65,0.7,17.8549,310,14.9086,1004,0,1,0,16
6.21111111111111,0.75,6.6654,326,15.8746,1007.07,0,1,0,17
2.8,0.76,17.4363,300,9.982,1007.67,0,1,0,18
6.07222222222222,0.7,10.7548,321,10.0464,1010.22,0,1,0,19
7.45555555555556,0.7,10.465,172,9.982,1010.1,0,1,0,20
4.11111111111111,0.85,12.719,142,14.9086,1012.22,0,1,0,21
5.21111111111111,0.92,4.7656,178,1.2236,1013.4,0,1,0,22
13.9333333333333,0.58,23.5865,222,11.27,1014.47,0,1,0,23
16.1,0.56,14.8281,215,11.1251,1012.38,0,1,0,24
10.4444444444444,0.83,2.6404,63,15.8746,1014.75,0,1,0,25
4.85555555555556,0.86,11.3988,271,9.982,1017.37,0,1,0,26
16.0166666666667,0.48,11.2378,307,11.27,1020.6,0,1,0,27
16.1555555555556,0.52,9.1931,172,9.982,1017.87,0,1,0,28
12.2666666666667,0.69,14.1358,151,15.8263,1016.8,0,1,0,29
11.2055555555556,0.77,14.007,132,9.982,1013.63,0,1,0,30
